../Instâncias/Mapas/M_30x30B2.txt,0,0
19,4,0
20,4,0
20,5,1
20,6,0
20,7,0
20,8,0
21,8,0
21,7,0
21,6,0
21,5,0
21,4,0
21,3,0
20,3,0
19,3,0
18,3,0
18,4,0
17,4,0
17,5,0
17,6,0
17,7,0
17,8,1
16,8,0
16,7,0
16,6,0
16,5,0
16,4,0
15,4,0
14,4,0
13,4,0
13,5,0
13,6,0
13,7,0
13,8,0
13,9,0
13,10,1
13,11,0
12,11,0
12,10,0
12,9,0
12,8,0
12,7,0
12,6,0
12,5,0
12,4,0
12,3,0
13,3,0
13,2,0
14,2,0
14,3,0
15,3,0
16,3,0
17,3,0
17,2,0
18,2,0
19,2,0
20,2,0
21,2,0
22,2,0
22,3,0
22,4,0
23,4,0
23,3,0
24,3,0
24,4,0
24,5,0
24,6,0
24,7,0
25,7,0
25,6,0
25,5,0
25,4,0
25,3,0
26,3,0
26,4,0
27,4,0
28,4,0
28,5,0
28,6,0
28,7,0
28,8,0
28,9,0
28,10,0
28,11,0
28,12,0
28,13,0
28,14,0
28,15,0
28,16,0
28,17,0
28,18,0
28,19,0
28,20,0
28,21,0
28,22,0
28,23,0
28,24,0
28,25,0
27,25,0
26,25,0
25,25,0
24,25,0
23,25,0
22,25,0
21,25,1
21,24,0
21,23,0
21,22,0
21,21,0
21,20,0
20,20,0
20,21,0
20,22,0
20,23,0
20,24,0
20,25,0
20,26,0
21,26,0
22,26,0
22,27,0
21,27,0
21,28,0
20,28,0
20,27,0
19,27,0
19,26,0
19,25,0
18,25,0
18,26,0
18,27,0
17,27,0
16,27,0
15,27,0
14,27,1
14,28,0
13,28,0
13,27,0
12,27,0
11,27,0
10,27,0
9,27,1
9,28,0
8,28,0
8,27,0
7,27,0
6,27,0
6,26,0
5,26,0
4,26,1
4,25,0
3,25,1
2,25,0
2,26,0
3,26,0
3,27,0
4,27,0
5,27,0
5,28,0
4,28,0
3,28,0
2,28,0
2,27,0
1,27,0
1,26,0
1,25,0
1,24,0
1,23,1
